Datetime;open;high;low;close;return_close;MA_8;MA_21;MA_30;MA_50;MA_100;MA_200;positive_returns;MA_UP;MA_DOWN;Derivada_8;Derivada_21;Derivada_30;Derivada_50;Derivada_100;Derivada_200
2023-05-26 13:06:00+02:00;9.102.599.609.375;91.027.998.046.875;91.022.998.046.875;91.027.001.953.125;-1,09E+11;9.101.900.024.414.060;9.095.785.714.285.710;9.090.459.993.489.580;908.084.001.953.125;9.067.920.009.765.620;9.076.750.502.929.680;False;True;False;0.6624755859375;0.8857421875;10.599.934.895.835.700;0.9099999999998545;0.4520019531246362;0.03450195312507276
2023-05-26 13:07:00+02:00;9.101.900.390.625;91.027.001.953.125;91.017.001.953.125;91.027.001.953.125;0.0;9.102.362.548.828.120;9.096.638.113.839.280;90.915.033.203.125;90.817.040.234.375;9.068.384.013.671.870;9.076.779.501.953.120;False;True;False;0.4625244140625;0.852399553572468;10.433.268.229.171.500;0.8640039062502183;0.4640039062505821;0.02899902343779104
2023-05-26 13:08:00+02:00;9.102.599.609.375;9105.0;9.102.599.609.375;91.047.998.046.875;0.000230657863045991;9.102.825.073.242.180;909.756.189.546.131;909.252.666.015.625;908.262.201.171.875;9.068.859.013.671.870;9.076.807.001.953.120;True;True;False;0.4625244140625;0.9237816220229433;10.233.398.437.503.600;0.9179882812495634;0.4750000000003638;0.02749999999832653
2023-05-26 13:09:00+02:00;9105.0;9.106.400.390.625;9105.0;9.106.400.390.625;0.00017579584085702926;9.103.400.146.484.370;909.848.572.358.631;9.093.563.346.354.160;908.352.802.734.375;906.933.001.953.125;9.076.857.504.882.810;True;True;False;0.5750732421875;0.923828125;10.366.861.979.164.200;0.9060156249997817;0.4710058593736903;0.05050292968917347
2023-05-26 13:10:00+02:00;9106.5;91.077.998.046.875;9106.5;9.107.599.609.375;0.0001316896576648574;9.104.012.573.242.180;9.099.352.353.050.590;9.094.566.666.666.660;908.446.201.171.875;906.986.001.953.125;9.076.933.002.929.680;True;True;False;0.6124267578125;0.866629464286234;10.033.203.125.003.600;0.9339843750003638;0.5300000000006548;0.07549804687369033
2023-05-26 13:11:00+02:00;9.107.599.609.375;91.087.998.046.875;9.107.599.609.375;91.082.001.953.125;6,59E+10;9.104.737.548.828.120;9.100.219.029.017.850;9.095.503.352.864.580;908.535.201.171.875;90.704.040.234.375;907.701.900.390.625;True;True;False;0.7249755859375;0.8666759672614717;0.9366861979160603;0.8900000000012369;0.5440039062505093;0.08600097656380967
2023-05-26 13:12:00+02:00;91.082.001.953.125;9108.5;91.077.001.953.125;9108.5;3,29E+11;9.105.462.524.414.060;910.102.380.952.381;9.096.453.352.864.580;9.086.286.015.625;90.709.690.234.375;9.077.103.002.929.680;True;True;False;0.7249755859375;0.8047805059522943;0.9499999999989086;0.9340039062499272;0.5649999999986903;0.08399902343626309
2023-05-26 13:13:00+02:00;91.087.001.953.125;91.092.998.046.875;91.087.001.953.125;91.087.998.046.875;3,29E+10;9.106.212.524.414.060;9.101.771.437.872.020;9.097.466.666.666.660;908.718.001.953.125;9.071.503.017.578.120;9.077.163.002.929.680;True;True;False;0.75;0.747628348213766;10.133.138.020.846.600;0.8940039062490541;0.5339941406255093;0.05999999999949068
2023-05-26 13:14:00+02:00;9.109.099.609.375;9.109.099.609.375;9108.5;9108.5;-3,29E+10;91.069.375;910.253.334.263.393;9.098.369.986.979.160;908.806.802.734.375;9.072.024.013.671.870;9.077.217.504.882.810;False;True;False;0.7249755859375;0.7619047619064077;0.9033203125;0.888007812500291;0.52099609375;0.05450195312550932
2023-05-26 13:15:00+02:00;91.077.998.046.875;91.087.998.046.875;9.107.400.390.625;9.108.400.390.625;-1,09E+11;9.107.650.024.414.060;9.103.261.951.264.880;9.099.180.013.020.830;908.888.203.125;907.256.501.953.125;9.077.266.005.859.370;False;True;False;0.7125244140625;0.7286086309522943;0.8100260416667879;0.8140039062491269;0.5410058593752183;0.048500976563445874
2023-05-26 13:16:00+02:00;9.108.400.390.625;9.113.099.609.375;9.108.400.390.625;9.113.099.609.375;0.0005159214075434182;91.086.875;9.103.990.513.392.850;910.012.333.984.375;90.897.640.234.375;9.073.156.015.625;9.077.332.001.953.120;True;True;False;10.374.755.859.375;0.7285621279752377;0.9433268229167879;0.8819921875001455;0.590996093749709;0.06599609375007276
2023-05-26 13:17:00+02:00;9.113.099.609.375;91.137.998.046.875;9.112.900.390.625;91.137.998.046.875;7,68E+10;9.109.612.426.757.810;9.104.790.504.092.260;9.101.069.986.979.160;90.906.240.234.375;907.371.701.171.875;9.077.433.002.929.680;True;True;False;0.9249267578125;0.7999906994045887;0.9466471354153327;0.8600000000005821;0.5609960937508731;0.1010009765614086
2023-05-26 13:18:00+02:00;9114.0;9.115.900.390.625;9114.0;9.115.900.390.625;0.0002304840991151913;9.110.650.024.414.060;9.105.680.989.583.330;9.102.033.333.333.330;90.915.540.234.375;907.427.501.953.125;9.077.550.004.882.810;True;True;False;103.759.765.625;0.890485491072468;0.9633463541667879;0.930000000000291;0.5580078124985448;0.11700195312550932
2023-05-26 13:19:00+02:00;9.116.099.609.375;9.116.099.609.375;9.113.900.390.625;9.113.900.390.625;-0.00021939686858107876;9.111.362.548.828.120;9.106.466.703.869.040;9102.85;909.244.603.515.625;9.074.806.025.390.620;9.077.651.508.789.060;False;True;False;0.7125244140625;0.785714285713766;0.8166666666675155;0.8920117187499272;0.531005859375;0.10150390624949068
2023-05-26 13:20:00+02:00;9.113.900.390.625;91.142.998.046.875;9.111.400.390.625;9.111.400.390.625;-0.0002743062676624497;911.172.509.765.625;9.107.057.198.660.710;9.103.563.346.354.160;90.933.300.390.625;9.075.309.033.203.120;907.775.451.171.875;False;True;False;0.362548828125;0.5904947916660603;0.7133463541667879;0.8840039062506548;0.5030078125000728;0.1030029296871362
2023-05-26 13:21:00+02:00;9.111.400.390.625;91.117.998.046.875;9110.5;91.117.998.046.875;4,38E+10;911.210.009.765.625;9.107.566.731.770.830;9.104.236.686.197.910;909.416.802.734.375;9.075.840.029.296.870;9.077.861.010.742.180;True;True;False;0.375;0.5095331101201737;0.67333984375;0.8379882812496362;0.5309960937502183;0.10649902343902795
2023-05-26 13:22:00+02:00;9.111.900.390.625;9.112.099.609.375;9111.0;91.112.001.953.125;-6,58E+10;9.112.437.622.070.310;9.108.014.369.419.640;91.048.400.390.625;909.497.603.515.625;907.636.103.515.625;9.077.940.009.765.620;False;True;False;0.3375244140625;0.44763764880917734;0.6033528645821207;0.8080078125003638;0.5210058593747817;0.07899902343706344
2023-05-26 13:23:00+02:00;91.107.998.046.875;91.107.998.046.875;9.110.099.609.375;9110.5;-7,68E+10;9.112.700.073.242.180;9.108.385.788.690.470;91.054.400.390.625;90.958.000.390.625;9.076.893.037.109.370;90.779.905.078.125;False;True;False;0.262451171875;0.37141927083393966;0.6000000000003638;0.8240039062493452;0.5320019531263824;0.050498046874054126
2023-05-26 13:24:00+02:00;9110.5;9110.5;9.109.900.390.625;9.109.900.390.625;-6,58E+10;9.112.300.170.898.430;9.108.742.931.547.610;9.106.000.065.104.160;90.966.100.390.625;9.077.428.037.109.370;9.078.042.509.765.620;False;False;False;-0.39990234375;0.357142857141298;0.5600260416667879;0.8099999999994907;0.5349999999998545;0.052001953125
2023-05-26 13:25:00+02:00;91.112.998.046.875;9.112.900.390.625;91.112.998.046.875;9.112.900.390.625;0.00032931205297126454;9.112.187.744.140.620;910.922.865.513.393;910.650.341.796.875;90.974.600.390.625;90.779.950.390.625;9.078.140.009.765.620;True;False;False;-0.1124267578125;0.4857235863109963;0.5033528645835759;0.8500000000003638;0.5670019531244179;0.09749999999985448
2023-05-26 13:26:00+02:00;9.112.900.390.625;91.132.998.046.875;9.112.599.609.375;91.132.998.046.875;4,38E+11;9.111.862.670.898.430;910.972.865.513.393;9.107.046.744.791.660;909.830.802.734.375;9.078.593.037.109.370;9.078.256.010.742.180;True;False;False;-0.3250732421875;0.5;0.5433268229171517;0.8479882812498545;0.5979980468746362;0.11600097656264552
2023-05-26 13:27:00+02:00;91.132.998.046.875;91.132.998.046.875;9111.5;9.111.900.390.625;-0.0001535573384494615;9.111.612.670.898.430;9.110.166.759.672.610;9.107.536.751.302.080;909.911.802.734.375;90.791.750.390.625;9.078.356.010.742.180;False;False;False;-0.25;0.4381045386890037;0.49000651041569654;0.8099999999994907;0.5820019531256548;0.1000000000003638
2023-05-26 13:28:00+02:00;9.111.900.390.625;9.112.900.390.625;9.111.900.390.625;9.112.400.390.625;5,49E+10;9.111.737.670.898.430;9.110.628.673.735.110;9.108.036.751.302.080;909.988.404.296.875;90.797.800.390.625;9.078.456.010.742.180;True;True;False;0.125;0.4619140625;0.5;0.7660156250003638;0.6049999999995634;0.1000000000003638
2023-05-26 13:29:00+02:00;9.112.599.609.375;91.147.001.953.125;9.112.599.609.375;91.142.001.953.125;0.00019751158974012917;9.112.037.719.726.560;911.107.631.138.393;9.108.543.424.479.160;910.066.205.078.125;9.080.418.037.109.370;9.078.563.012.695.310;True;True;False;0.300048828125;0.4476376488109963;0.5066731770839397;0.778007812499709;0.6379980468755093;0.10700195312529104
2023-05-26 13:30:00+02:00;91.142.998.046.875;9.117.400.390.625;91.142.998.046.875;91.167.001.953.125;0.0002742972445664016;9.112.725.219.726.560;911.156.677.827.381;9.109.063.444.010.410;91.014.460.546.875;908.107.603.515.625;9.078.692.514.648.430;True;True;False;0.6875;0.49046688987982634;0.52001953125;0.784003906250291;0.6579980468741269;0.12950195312441792
2023-05-26 13:31:00+02:00;91.172.998.046.875;9117.5;91.167.001.953.125;91.167.001.953.125;0.0;9.113.500.244.140.620;911.200.013.950.893;9.109.560.123.697.910;910.217.806.640.625;908.172.603.515.625;9.078.817.016.601.560;False;True;False;0.7750244140625;0.43336123512017366;0.4966796874996362;0.7320117187500728;0.6500000000014552;0.12450195312521828
2023-05-26 13:32:00+02:00;91.167.001.953.125;9.121.900.390.625;91.167.001.953.125;9.121.900.390.625;0.0005704032381337321;9.115.000.244.140.620;9.112.652.529.761.900;9.110.200.130.208.330;910.301.607.421.875;90.824.350.390.625;907.897.001.953.125;True;True;False;1.5;0.6523902529752377;0.6400065104171517;0.8380078125010186;0.7090039062495634;0.1530029296882276
2023-05-26 13:33:00+02:00;9123.0;9123.0;91.222.998.046.875;9.122.599.609.375;7,67E+10;9.116.212.646.484.370;9.113.323.939.732.140;91.108.734.375;910.390.005.859.375;9.083.118.037.109.370;9.079.123.017.578.120;True;True;False;121.240.234.375;0.6714099702385283;0.6733072916667879;0.8839843749992724;0.6829980468737631;0.15299804687492724
2023-05-26 13:34:00+02:00;91.227.001.953.125;9123.0;91.222.001.953.125;91.222.001.953.125;-4,38E+10;91.173.251.953.125;911.396.205.357.143;91.115.234.375;91.047.160.546.875;9.083.812.041.015.620;9.079.263.520.507.810;False;True;False;1.112.548.828.125;0.638113839286234;0.6499999999996362;0.8159960937500728;0.6940039062501455;0.1405029296875
2023-05-26 13:35:00+02:00;91.222.001.953.125;9122.5;9121.0;9122.5;3,29E+11;9.118.650.146.484.370;9.114.628.720.238.090;9.112.180.110.677.080;91.054.840.625;9.084.496.044.921.870;9.079.388.022.460.930;True;True;False;1.324.951.171.875;0.6666666666660603;0.6566731770835759;0.7680078124994907;0.6840039062499272;0.12450195312521828
2023-05-26 13:36:00+02:00;9122.5;9123.0;9122.5;9.122.900.390.625;4,39E+10;9.119.962.646.484.370;911.531.919.642.857;9.112.853.450.520.830;910.624.607.421.875;9.085.186.044.921.870;9.079.505.024.414.060;True;True;False;13.125;0.6904761904752377;0.67333984375;0.7620117187507276;0.6900000000005093;0.11700195312369033
2023-05-26 13:37:00+02:00;9.122.900.390.625;91.237.998.046.875;9.122.900.390.625;9.123.099.609.375;2,18E+11;9.121.075.073.242.180;9.115.795.386.904.760;9.113.533.430.989.580;910.700.005.859.375;9.085.871.044.921.870;9.079.617.021.484.370;True;True;False;11.124.267.578.125;0.47619047619082266;0.6799804687489086;0.7539843750000728;0.6849999999994907;0.11199707031300932
2023-05-26 13:38:00+02:00;9.123.099.609.375;9.123.099.609.375;91.227.998.046.875;91.227.998.046.875;-3,29E+10;9.121.837.524.414.060;9.116.223.958.333.330;9.114.133.430.989.580;91.077.160.546.875;90.865.400.390.625;9.079.726.518.554.680;False;True;False;0.762451171875;0.428571428572468;0.6000000000003638;0.715996093749709;0.6689941406257276;0.1094970703125
2023-05-26 13:39:00+02:00;91.227.998.046.875;91.227.998.046.875;9.119.599.609.375;9.119.599.609.375;-0.0003507909173733337;9.122.199.951.171.870;9.116.400.111.607.140;9.114.573.404.947.910;91.083.200.390.625;90.872.200.390.625;9.079.832.016.601.560;False;True;False;0.3624267578125;0.17615327380917734;0.43997395833321207;0.6039843750004366;0.680000000000291;0.10549804687434516
2023-05-26 13:40:00+02:00;9.119.599.609.375;9.119.599.609.375;91.177.998.046.875;91.177.998.046.875;-0.00019735566961187612;9.121.687.377.929.680;911.658.579.799.107;9.114.913.411.458.330;910.887.603.515.625;9.087.912.041.015.620;9.079.930.014.648.430;False;False;False;-0.5125732421875;0.185686383927532;0.3400065104178793;0.5559960937498545;0.6920019531244179;0.09799804687645519
2023-05-26 13:41:00+02:00;9.118.400.390.625;9.118.400.390.625;9118.0;91.182.998.046.875;5,48E+10;912.114.990.234.375;9.116.914.341.517.850;9.115.250.065.104.160;91.094.100.390.625;90.885.700.390.625;9.080.032.514.648.430;True;False;False;-0.5374755859375;0.328543526786234;0.33665364583248447;0.534003906250291;0.6579980468759459;0.10249999999905413
2023-05-26 13:42:00+02:00;91.182.998.046.875;9.119.599.609.375;9.118.099.609.375;9.119.599.609.375;0.0001425490184947531;9.120.824.829.101.560;911.728.576.078.869;9.115.620.052.083.330;91.099.400.390.625;908.924.603.515.625;908.014.701.171.875;True;False;False;-0.3250732421875;0.37141927083393966;0.36998697916715173;0.5299999999988358;0.6759960937488358;0.11449707031169964
2023-05-26 13:43:00+02:00;9.119.599.609.375;9121.5;9.119.599.609.375;9.121.099.609.375;0.0001644809053302776;9.120.649.780.273.430;9.117.757.161.458.330;9.116.030.045.572.910;911.051.203.125;9.089.935.029.296.870;9.080.273.510.742.180;True;False;False;-0.175048828125;0.471400669643117;0.40999348958393966;0.5719921875006548;0.6889941406261642;0.12649902343764552
2023-05-26 13:44:00+02:00;9121.0;91.212.998.046.875;91.207.998.046.875;91.212.998.046.875;2,19E+11;912.044.970.703.125;9.118.271.437.872.020;9.116.456.705.729.160;911.107.603.515.625;9.090.626.025.390.620;9.080.412.509.765.620;True;False;False;-0.2000732421875;0.5142764136890037;0.4266601562485448;0.5640039062491269;0.6909960937500728;0.13899902343837311
2023-05-26 13:45:00+02:00;91.212.998.046.875;91.212.998.046.875;91.197.998.046.875;9.120.400.390.625;-9,86E+10;91.201.123.046.875;9.118.771.437.872.020;9.116.856.705.729.160;9.111.528.046.875;9.091.295.029.296.870;9.080.555.009.765.620;False;False;False;-0.33740234375;0.5;0.4000000000014552;0.4520117187512369;0.6690039062486903;0.14249999999992724
2023-05-26 13:46:00+02:00;91.202.998.046.875;9.122.400.390.625;9.120.099.609.375;9.122.400.390.625;0.0002192886182996734;9.120.062.377.929.680;9.119.223.818.824.400;9.117.166.731.770.830;91.120.360.546.875;9.091.978.037.109.370;9.080.719.013.671.870;True;False;False;-0.0499267578125;0.45238095238164533;0.31002604166496894;0.5080078124992724;0.6830078125003638;0.16400390624949068
2023-05-26 13:47:00+02:00;9.122.599.609.375;9.123.900.390.625;9122.5;9.123.900.390.625;0.00016443040600822023;9.120.599.975.585.930;9.119.728.608.630.950;911.750.341.796.875;911.257.005.859.375;9.092.667.041.015.620;9.080.891.015.625;True;True;False;0.53759765625;0.5047898065477057;0.33668619791751553;0.534003906250291;0.6890039062509459;0.17200195312580036
2023-05-26 13:48:00+02:00;91.242.001.953.125;91.247.998.046.875;91.242.001.953.125;9124.5;6,57E+09;91.214.375;9.120.328.590.029.760;9.117.790.071.614.580;911.311.205.078.125;9.093.357.041.015.620;9.081.070.517.578.120;True;True;False;0.8375244140625;0.5999813988091773;0.28665364583321207;0.5419921875;0.6899999999986903;0.17950195312550932
2023-05-26 13:49:00+02:00;9.124.900.390.625;9.127.900.390.625;9.124.900.390.625;9.127.900.390.625;0.0003726659679983424;9.122.637.573.242.180;9.121.066.685.267.850;911.825.673.828.125;911.369.005.859.375;9.094.072.041.015.620;9.081.254.521.484.370;True;True;False;12.000.732.421.875;0.7380952380954113;0.46666666666715173;0.5780078124989814;0.7150000000001455;0.18400390624992724
2023-05-26 13:50:00+02:00;91.277.998.046.875;91.287.998.046.875;91.277.998.046.875;9128.5;6,57E+10;9.123.750.122.070.310;9.121.747.628.348.210;9.118.826.725.260.410;911.423.806.640.625;9.094.813.037.109.370;90.814.340.234.375;True;True;False;1.112.548.828.125;0.680943080356883;0.5699869791660603;0.5480078125001455;0.7409960937511642;0.17950195312369033
2023-05-26 13:51:00+02:00;9128.5;9.131.400.390.625;9128.5;91.312.998.046.875;0.0003067102686640233;9.125.025.146.484.370;9.122.442.847.842.260;9.119.476.725.260.410;911.482.806.640.625;909.559.203.125;9.081.628.022.460.930;True;True;False;12.750.244.140.625;0.6952194940477057;0.6499999999996362;0.5900000000001455;0.7789941406244907;0.19399902343866415
2023-05-26 13:52:00+02:00;9.131.099.609.375;9.131.900.390.625;9.130.099.609.375;91.307.998.046.875;-5,48E+10;9.126.212.646.484.370;91.231.142.578.125;9.120.130.045.572.910;911.539.005.859.375;9.096.330.029.296.870;9.081.816.020.507.810;False;True;False;11.875;0.6714099702385283;0.6533203125;0.5619921875004366;0.7379980468740541;0.18799804687478172
2023-05-26 13:53:00+02:00;91.307.998.046.875;9131.0;9130.0;9.130.099.609.375;-7,67E+10;9.127.425.048.828.120;9.123.504.696.800.590;9.120.783.365.885.410;911.594.404.296.875;909.705.302.734.375;9.081.992.016.601.560;False;True;False;121.240.234.375;0.39043898809541133;0.6533203125;0.5539843749993452;0.7229980468764552;0.17599609374883585
2023-05-26 13:54:00+02:00;9.130.099.609.375;9.131.400.390.625;9.130.099.609.375;91.312.998.046.875;0.0001314547884305739;9.128.537.475.585.930;9.123.918.991.815.470;91.214.966.796.875;911.651.603.515.625;909.777.302.734.375;9.082.183.017.578.120;True;True;False;11.124.267.578.125;0.41429501488164533;0.7133138020835759;0.5719921875006548;0.7199999999993452;0.19100097656337311
2023-05-26 13:55:00+02:00;91.312.998.046.875;91.312.998.046.875;91.292.998.046.875;9.130.099.609.375;-0.00013143751034039308;9.129.312.377.929.680;9.124.295.154.389.880;9.122.069.986.979.160;911.706.203.125;9.098.496.025.390.620;9.082.388.017.578.120;False;True;False;0.77490234375;0.37616257440458867;0.5733072916664241;0.5459960937496362;0.7229980468746362;0.20499999999992724
2023-05-26 13:56:00+02:00;9130.0;91.302.001.953.125;91.292.998.046.875;9129.5;-6,57E+10;9.129.937.377.929.680;9.124.628.487.723.210;9.122.609.993.489.580;911.759.802.734.375;90.992.190.234.375;9.082.587.016.601.560;False;True;False;0.625;0.3333333333321207;0.5400065104167879;0.5359960937512369;0.7229980468746362;0.1989990234378638
2023-05-26 13:57:00+02:00;9.129.599.609.375;91.297.998.046.875;9.129.599.609.375;9.129.599.609.375;1,09E+11;9.130.149.780.273.430;9.124.947.498.139.880;9.123.199.967.447.910;9.118.136.015.625;909.992.001.953.125;9.082.811.513.671.870;True;True;False;0.21240234375;0.3190104166678793;0.5899739583346673;0.5379882812485448;0.700996093750291;0.22449707031228172
2023-05-26 13:58:00+02:00;9.129.599.609.375;9.129.599.609.375;9.128.599.609.375;9.128.599.609.375;-0.00010953382873146733;9.130.162.231.445.310;9.125.209.402.901.780;912.373.994.140.625;911.861.201.171.875;910.061.701.171.875;9.083.025.009.765.620;False;True;False;0.012451171875;0.26190476190458867;0.5399739583317569;0.47599609374992724;0.6969921875006548;0.21349609374919964
2023-05-26 13:59:00+02:00;91.287.998.046.875;91.287.998.046.875;9.128.099.609.375;9128.5;-1,09E+10;9.129.812.255.859.370;912.548.084.077.381;91.242.166.015.625;911.905.400.390.625;9.101.291.015.625;90.832.505.078.125;False;False;False;-0.3499755859375;0.27143787202294334;0.4766601562514552;0.4419921875014552;0.674003906249709;0.22549804687514552
